(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
1000,1000,1000,1000,100,0.08,0.0319671,0.0001
1000,0.1,0.01,1000,100,0.04,0,
1000,0.2,0.01,1000,100,0.04,0,
1000,1,0.01,1000,100,0.04,0.093106689,2.13
1000,10,0.01,1000,100,0.04,0.089189453,2.09
1000,100,0.01,1000,100,0.04,0.088845215,2.09
1000,1000,0.01,1000,100,0.04,0.088811035,2.09
1000,0.1,0.1,1000,100,0.04,0,
1000,0.2,0.1,1000,100,0.04,0,
1000,1,0.1,1000,100,0.04,0.084125366,2.07
1000,10,0.1,1000,100,0.04,0.081196899,2.04
1000,100,0.1,1000,100,0.04,0.080933838,2.04
1000,1000,0.1,1000,100,0.04,0.080908203,2.04
1000,0.1,0.2,1000,100,0.04,0,
1000,0.2,0.2,1000,100,0.04,0.101769409,2.24
1000,1,0.2,1000,100,0.04,0.076907959,2.01
1000,10,0.2,1000,100,0.04,0.074659424,1.99
1000,100,0.2,1000,100,0.04,0.074453735,1.99
1000,1000,0.2,1000,100,0.04,0.074433594,1.98
1000,0.1,1,1000,100,0.04,0,
1000,0.2,1,1000,100,0.04,0.059649048,1.81
1000,1,1,1000,100,0.04,0.054919434,1.75
1000,10,1,1000,100,0.04,0.054109497,1.74
1000,100,1,1000,100,0.04,0.054031982,1.74
1000,1000,1,1000,100,0.04,0.054024048,1.74
1000,0.1,5,1000,100,0.04,0.046990967,1.6
1000,0.2,5,1000,100,0.04,0.043855591,1.56
1000,1,5,1000,100,0.04,0.042037964,1.54
1000,10,5,1000,100,0.04,0.041682129,1.53
1000,100,5,1000,100,0.04,0.041647949,1.53
1000,1000,5,1000,100,0.04,0.041644287,1.53
1000,0.1,10,1000,100,0.04,0.043816528,1.55
1000,0.2,10,1000,100,0.04,0.041331177,1.52
1000,1,10,1000,100,0.04,0.039819336,1.5
1000,10,10,1000,100,0.04,0.039518433,1.49
1000,100,10,1000,100,0.04,0.039489136,1.49
1000,1000,10,1000,100,0.04,0.039486084,1.49
1000,0.1,30,1000,100,0.04,0.041655273,1.51
1000,0.2,30,1000,100,0.04,0.039550781,1.48
1000,1,30,1000,100,0.04,0.038231812,1.47
1000,10,30,1000,100,0.04,0.037966309,1.46
1000,100,30,1000,100,0.04,0.037940063,1.46
1000,1000,30,1000,100,0.04,0.037937622,1.46
1000,0.1,90,1000,100,0.04,0.040923462,1.5
1000,0.2,90,1000,100,0.04,0.038937988,1.47
1000,1,90,1000,100,0.04,0.037681885,1.45
1000,10,90,1000,100,0.04,0.037427979,1.45
1000,100,90,1000,100,0.04,0.037402954,1.45
1000,1000,90,1000,100,0.04,0.037400513,1.45
1000,0.1,100,1000,100,0.04,0.040886841,1.5
1000,0.2,100,1000,100,0.04,0.038907471,1.47
1000,1,100,1000,100,0.04,0.037653809,1.46
1000,10,100,1000,100,0.04,0.037400513,1.45
1000,100,100,1000,100,0.04,0.037375488,1.45
1000,1000,100,1000,100,0.04,0.037373047,1.45
1000,0.1,300,1000,100,0.04,0.040666504,1.5
1000,0.2,300,1000,100,0.04,0.038721313,1.47
1000,1,300,1000,100,0.04,0.037486572,1.45
1000,10,300,1000,100,0.04,0.037236328,1.45
1000,100,300,1000,100,0.04,0.037211914,1.45
1000,1000,300,1000,100,0.04,0.037209473,1.45
1000,0.1,500,1000,100,0.04,0.040622559,1.5
1000,0.2,500,1000,100,0.04,0.038684082,1.47
1000,1,500,1000,100,0.04,0.037453003,1.45
1000,10,500,1000,100,0.04,0.037203979,1.45
1000,100,500,1000,100,0.04,0.037179565,1.45
1000,1000,500,1000,100,0.04,0.037177124,1.45
1000,0.1,1000,1000,100,0.04,0.040588989,1.5
1000,0.2,1000,1000,100,0.04,0.038656006,1.47
1000,1,1000,1000,100,0.04,0.037427368,1.45
1000,10,1000,1000,100,0.04,0.037178955,1.45
1000,100,1000,1000,100,0.04,0.037154541,1.45
1000,1000,1000,1000,100,0.04,0.0371521,1.45
0.1,1000,1000,1000,1,0.04,0.148339844,0.0001
0.2,1000,1000,1000,1,0.04,0.198904419,0.0001
0.4,1000,1000,1000,1,0.04,0.262357178,0.0001
0.6,1000,1000,1000,1,0.04,0.30371582,0.7901
0.8,1000,1000,1000,1,0.04,0.334337158,0.9001
1,1000,1000,1000,1,0.04,0.358561401,0.9801
0.1,1000,1000,1000,2,0.04,0.143951416,0.0001
0.2,1000,1000,1000,2,0.04,0.192686157,0.0101
0.4,1000,1000,1000,2,0.04,0.248585815,0.9701
0.6,1000,1000,1000,2,0.04,0.281660156,1.1901
0.8,1000,1000,1000,2,0.04,0.304754639,1.3301
1,1000,1000,1000,2,0.04,0.322319946,1.4301
0.1,1000,1000,1000,5,0.04,0.13664917,0.0001
0.2,1000,1000,1000,5,0.04,0.173482056,1.1201
0.4,1000,1000,1000,5,0.04,0.204703369,1.58
0.6,1000,1000,1000,5,0.04,0.219365845,1.81
0.8,1000,1000,1000,5,0.04,0.228088989,1.94
1,1000,1000,1000,5,0.04,0.233930664,2.03
0.1,1000,1000,1000,10,0.04,0.122169189,1.08
0.2,1000,1000,1000,10,0.04,0.140964355,1.55
0.4,1000,1000,1000,10,0.04,0.152584839,1.92
0.6,1000,1000,1000,10,0.04,0.156817017,2.07
0.8,1000,1000,1000,10,0.04,0.158996582,2.15
1,1000,1000,1000,10,0.04,0.160323486,2.21
0.1,1000,1000,1000,20,0.04,0.095111694,1.45
0.2,1000,1000,1000,20,0.04,0.100615845,1.77
0.4,1000,1000,1000,20,0.04,0.103179321,1.96
0.6,1000,1000,1000,20,0.04,0.103978882,2.03
0.8,1000,1000,1000,20,0.04,0.104365234,2.07
1,1000,1000,1000,20,0.04,0.104592285,2.09
0.1,1000,1000,1000,30,0.04,0.077313232,1.55
0.2,1000,1000,1000,30,0.04,0.079443359,1.76
0.4,1000,1000,1000,30,0.04,0.080356445,1.87
0.6,1000,1000,1000,30,0.04,0.080632935,1.91
0.8,1000,1000,1000,30,0.04,0.080765991,1.93
1,1000,1000,1000,30,0.04,0.080842896,1.95
0.1,1000,1000,1000,40,0.04,0.065559692,1.56
0.2,1000,1000,1000,40,0.04,0.06657959,1.7
0.4,1000,1000,1000,40,0.04,0.067006226,1.78
0.6,1000,1000,1000,40,0.04,0.06713501,1.81
0.8,1000,1000,1000,40,0.04,0.067196655,1.82
1,1000,1000,1000,40,0.04,0.067232056,1.83
0.1,1000,1000,1000,50,0.04,0.05730896,1.54
0.2,1000,1000,1000,50,0.04,0.057874756,1.64
0.4,1000,1000,1000,50,0.04,0.058109741,1.7
0.6,1000,1000,1000,50,0.04,0.058180542,1.72
0.8,1000,1000,1000,50,0.04,0.058214111,1.73
1,1000,1000,1000,50,0.04,0.058234253,1.74
0.1,1000,1000,1000,60,0.04,0.051193848,1.5
0.2,1000,1000,1000,60,0.04,0.051541138,1.59
0.4,1000,1000,1000,60,0.04,0.051685791,1.63
0.6,1000,1000,1000,60,0.04,0.051730347,1.64
0.8,1000,1000,1000,60,0.04,0.051751099,1.65
1,1000,1000,1000,60,0.04,0.051763306,1.66
0.1,1000,1000,1000,70,0.04,0.046463623,1.47
0.2,1000,1000,1000,70,0.04,0.046694946,1.54
0.4,1000,1000,1000,70,0.04,0.046791382,1.57
0.6,1000,1000,1000,70,0.04,0.046820679,1.58
0.8,1000,1000,1000,70,0.04,0.046834717,1.59
1,1000,1000,1000,70,0.04,0.046843262,1.59
0.1,1000,1000,1000,80,0.04,0.042683716,1.43
0.2,1000,1000,1000,80,0.04,0.042846069,1.49
0.4,1000,1000,1000,80,0.04,0.042915039,1.52
0.6,1000,1000,1000,80,0.04,0.042935791,1.53
0.8,1000,1000,1000,80,0.04,0.042945557,1.53
1,1000,1000,1000,80,0.04,0.042952271,1.53
0.1,1000,1000,1000,90,0.04,0.039581909,1.4
0.2,1000,1000,1000,90,0.04,0.039703369,1.44
0.4,1000,1000,1000,90,0.04,0.039754028,1.47
0.6,1000,1000,1000,90,0.04,0.039769897,1.48
0.8,1000,1000,1000,90,0.04,0.039777222,1.48
1,1000,1000,1000,90,0.04,0.039781494,1.48
0.1,1000,1000,1000,100,0.04,0.036984863,1.37
0.2,1000,1000,1000,100,0.04,0.037077637,1.41
0.4,1000,1000,1000,100,0.04,0.03711731,1.43
0.6,1000,1000,1000,100,0.04,0.037129517,1.43
0.8,1000,1000,1000,100,0.04,0.03713562,1.44
1,1000,1000,1000,100,0.04,0.037138672,1.44
